hs_code,description,level,chapter,region_id,section_id
01.01,"Live horses, asses, mules and hinnies.",4,1,3,1
0101.21.00,"Live horses, asses, mules and hinnies. - Horses: - Pure-bred breeding animals",8,1,3,1
0101.29.00,"Live horses, asses, mules and hinnies. - Horses: - Other",8,1,3,1
0101.29.00,"Live horses, asses, mules and hinnies. - Horses: - Other - For slaughter",8,1,3,1
0101.29.00,"Live horses, asses, mules and hinnies. - Horses: - Other - For racing",8,1,3,1
0101.29.00,"Live horses, asses, mules and hinnies. - Horses: - Other - Other",8,1,3,1
0101.30.00,"Live horses, asses, mules and hinnies. - Asses",8,1,3,1
0101.90.00,"Live horses, asses, mules and hinnies. - Other",8,1,3,1
01.02,Live bovine animals.,4,1,3,1
0102.21.00,Live bovine animals. - Cattle: - Pure-bred breeding animals,8,1,3,1
0102.21.00,Live bovine animals. - Cattle: - Pure-bred breeding animals - Dairy,8,1,3,1
0102.21.00,Live bovine animals. - Cattle: - Pure-bred breeding animals - Other,8,1,3,1
0102.29.00,Live bovine animals. - Cattle: - Other,8,1,3,1
0102.29.00,Live bovine animals. - Cattle: - Other - Dairy,8,1,3,1
0102.29.00,Live bovine animals. - Cattle: - Other - Other,8,1,3,1
0102.31.00,Live bovine animals. - Buffalo: - Pure-bred breeding animals,8,1,3,1
0102.39.00,Live bovine animals. - Buffalo: - Other,8,1,3,1
0102.90.00,Live bovine animals. - Other,8,1,3,1
01.03,Live swine.,4,1,3,1
0103.10.00,Live swine. - Pure-bred breeding animals,8,1,3,1
0103.91.00,Live swine. - Other: - Weighing less than 50 kg,8,1,3,1
0103.92.00,Live swine. - Other: - Weighing 50 kg or more,8,1,3,1
01.04,Live sheep and goats.,4,1,3,1
0104.10.00,Live sheep and goats. - Sheep,8,1,3,1
0104.10.00,Live sheep and goats. - Sheep - Pure-bred breeding animals,8,1,3,1
0104.10.00,Live sheep and goats. - Sheep - Other,8,1,3,1
0104.20.00,Live sheep and goats. - Goats,8,1,3,1
0104.20.00,Live sheep and goats. - Goats - Pure-bred breeding animals,8,1,3,1
0104.20.00,Live sheep and goats. - Goats - Other,8,1,3,1
01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",4,1,3,1
0105.11,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus",6,1,3,1
0105.11.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus - For breeding purposes",8,1,3,1
0105.11.21,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus -  Broilers for domestic production: -  Within access commitment",8,1,3,1
0105.11.22,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus -  Broilers for domestic production: - Over access commitment",8,1,3,1
0105.11.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Fowls of the species Gallus domesticus - Other",8,1,3,1
0105.12,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys",6,1,3,1
0105.12.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys - For breeding purposes",8,1,3,1
0105.12.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Turkeys - Other",8,1,3,1
0105.13,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks",6,1,3,1
0105.13.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks - For breeding purposes",8,1,3,1
0105.13.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Ducks - Other",8,1,3,1
0105.14,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese",6,1,3,1
0105.14.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese - For breeding purposes",8,1,3,1
0105.14.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Geese - Other",8,1,3,1
0105.15,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls",6,1,3,1
0105.15.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls
 - For breeding purposes",8,1,3,1
0105.15.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Weighing not more than 185 g: - Guinea fowls
 - Other",8,1,3,1
0105.94,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus",6,1,3,1
0105.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets",8,1,3,1
0105.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - For breeding purposes; Started pullets: - Weighing not more than 2,000 g",8,1,3,1
0105.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - For breeding purposes; Started pullets: - Weighing more than 2,000 g",8,1,3,1
0105.94.10,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - For breeding purposes; 
Spent fowl;
Started pullets - Spent fowl: - Spent fowl",8,1,3,1
0105.94.91,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment",8,1,3,1
0105.94.91,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment - Weighing not more than 2,000 g",8,1,3,1
0105.94.91,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Within access commitment - Weighing more than 2,000 g",8,1,3,1
0105.94.92,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment",8,1,3,1
0105.94.92,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment - Weighing not more than 2,000 g",8,1,3,1
0105.94.92,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Fowls of the species Gallus domesticus - Other: - Over access commitment - Weighing more than 2,000 g",8,1,3,1
0105.99,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other",6,1,3,1
0105.99.11,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Turkeys: - Within access commitment",8,1,3,1
0105.99.12,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Turkeys: - Over access commitment",8,1,3,1
0105.99.90,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
 - Other: - Other - Other",8,1,3,1
01.06,Other live animals.,4,1,3,1
0106.11.00,Other live animals. - Mammals: - Primates,8,1,3,1
0106.12.00,"Other live animals. - Mammals: - Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",8,1,3,1
0106.13.00,Other live animals. - Mammals: - Camels and other camelids (Camelidae),8,1,3,1
0106.14.00,Other live animals. - Mammals: - Rabbits and hares,8,1,3,1
0106.19.00,Other live animals. - Mammals: - Other,8,1,3,1
0106.19.00,Other live animals. - Mammals: - Other - Minks,8,1,3,1
0106.19.00,Other live animals. - Mammals: - Other - Other,8,1,3,1
0106.20.00,Other live animals. - Reptiles (including snakes and turtles),8,1,3,1
0106.31.00,Other live animals. - Birds: - Birds of prey,8,1,3,1
0106.32.00,"Other live animals. - Birds: - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",8,1,3,1
0106.33.00,Other live animals. - Birds: - Ostriches; emus (Dromaius novaehollandiae),8,1,3,1
0106.39.00,Other live animals. - Birds: - Other,8,1,3,1
0106.39.00,Other live animals. - Birds: - Other - Pet or song birds,8,1,3,1
0106.39.00,Other live animals. - Birds: - Other - Other,8,1,3,1
0106.41.00,Other live animals. - Insects: - Bees,8,1,3,1
0106.41.00,"Other live animals. - Insects: - Bees - Honey bees, not including queen bees: - Honey bees, not including queen bees",8,1,3,1
0106.41.00,Other live animals. - Insects: - Bees - Queen bees,8,1,3,1
0106.41.00,Other live animals. - Insects: - Bees - Other,8,1,3,1
0106.49.00,Other live animals. - Insects: - Other,8,1,3,1
0106.90.00,Other live animals. - Other,8,1,3,1
0106.90.00,"Other live animals. - Other - Honey bees, not including queen bees: - Bait",8,1,3,1
0106.90.00,Other live animals. - Other - Amphibians,8,1,3,1
0106.90.00,Other live animals. - Other - Other,8,1,3,1
02.01,"Meat of bovine animals, fresh or chilled.",4,2,3,1
0201.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses",6,2,3,1
0201.10.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment",8,2,3,1
0201.10.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment - Veal",8,2,3,1
0201.10.10,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Within access commitment - Other",8,2,3,1
0201.10.20,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment",8,2,3,1
0201.10.20,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment - Veal",8,2,3,1
0201.10.20,"Meat of bovine animals, fresh or chilled. - Carcasses and half-carcasses - Over access commitment - Other",8,2,3,1
0201.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in",6,2,3,1
0201.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment",8,2,3,1
0201.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Veal",8,2,3,1
0201.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other, processed",8,2,3,1
0201.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other: - Loin",8,2,3,1
0201.20.10,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Within access commitment - Other: - Other",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Veal",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Of bison",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Rib",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Loin",8,2,3,1
0201.20.20,"Meat of bovine animals, fresh or chilled. - Other cuts with bone in - Over access commitment - Other: - Other",8,2,3,1
0201.30,"Meat of bovine animals, fresh or chilled. - Boneless",6,2,3,1
0201.30.10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment",8,2,3,1
0201.30.10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Veal",8,2,3,1
0201.30.10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Other: - Loin",8,2,3,1
0201.30.10,"Meat of bovine animals, fresh or chilled. - Boneless - Within access commitment - Other: - Other",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Veal",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Of bison",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other, processed",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Chuck",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Rib",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Hip",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Loin",8,2,3,1
0201.30.20,"Meat of bovine animals, fresh or chilled. - Boneless - Over access commitment - Other: - Other",8,2,3,1
02.02,"Meat of bovine animals, frozen.",4,2,3,1
0202.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses",6,2,3,1
0202.10.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment",8,2,3,1
0202.10.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment - Veal",8,2,3,1
0202.10.10,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Within access commitment - Other",8,2,3,1
0202.10.20,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment",8,2,3,1
0202.10.20,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment - Veal",8,2,3,1
0202.10.20,"Meat of bovine animals, frozen. - Carcasses and half-carcasses - Over access commitment - Other",8,2,3,1
0202.20,"Meat of bovine animals, frozen. - Other cuts with bone in",6,2,3,1
0202.20.10,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment",8,2,3,1
0202.20.10,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment - Veal",8,2,3,1
0202.20.10,"Meat of bovine animals, frozen. - Other cuts with bone in - Within access commitment - Other: - Other",8,2,3,1
0202.20.20,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment",8,2,3,1
0202.20.20,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Veal",8,2,3,1
0202.20.20,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Of bison",8,2,3,1
0202.20.20,"Meat of bovine animals, frozen. - Other cuts with bone in - Over access commitment - Other: - Other",8,2,3,1
0202.30,"Meat of bovine animals, frozen. - Boneless",6,2,3,1
