hs_code,description,level,chapter,region_id,section_id
1,LIVE ANIMALS            ,2,1,1,1
101,"LIVE HORSES, ASSES, MULES AND HINNIES            ",4,1,1,1
1012,Horses            ,5,1,1,1
1012100,Purebred breeding animals            ,8,1,1,1
1012900,Other            ,8,1,1,1
1013000,Asses            ,8,1,1,1
1019000,Other            ,8,1,1,1
102,LIVE BOVINE ANIMALS            ,4,1,1,1
1022,Cattle            ,5,1,1,1
1022100,Purebred breeding animals            ,8,1,1,1
1022900,Other            ,8,1,1,1
1023,Buffalo            ,5,1,1,1
1023100,Purebred breeding animals            ,8,1,1,1
1023900,Other            ,8,1,1,1
1029000,Other            ,8,1,1,1
103,LIVE SWINE            ,4,1,1,1
1031000,Purebred breeding animals            ,8,1,1,1
1039,Other            ,5,1,1,1
1039100,Weighing less than 50 kg,8,1,1,1
1039200,Weighing 50 kg or more            ,8,1,1,1
104,LIVE SHEEP AND GOATS            ,4,1,1,1
1041000,Sheep            ,8,1,1,1
1042000,Goats            ,8,1,1,1
105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES Gallus domesticus, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS            ",4,1,1,1
1051,Weighing not more than 185 g            ,5,1,1,1
1051100,Fowls of the species Gallus domesticus            ,8,1,1,1
1051200,Turkeys            ,8,1,1,1
1051300,Ducks            ,8,1,1,1
1051400,Geese            ,8,1,1,1
1051500,Guinea fowls            ,8,1,1,1
1059,Other            ,5,1,1,1
1059400,Fowls of the species Gallus domesticus            ,8,1,1,1
1059900,Other            ,8,1,1,1
106,OTHER LIVE ANIMALS            ,4,1,1,1
1061,Mammals            ,5,1,1,1
1061100,Primates            ,8,1,1,1
1061200,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)            ",8,1,1,1
1061300,Camels and other camelids (Camelidae)            ,8,1,1,1
1061400,Rabbits and hares            ,8,1,1,1
1061900,Other            ,8,1,1,1
1062000,Reptiles (Including snakes and turtles)            ,8,1,1,1
1063,Birds            ,5,1,1,1
1063100,Birds of prey            ,8,1,1,1
1063200,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)            ",8,1,1,1
1063300,Ostriches; emus (Dromaius novaehollandiae)            ,8,1,1,1
1063900,Other            ,8,1,1,1
1064,Insects            ,5,1,1,1
1064100,Bees            ,8,1,1,1
1064900,Other            ,8,1,1,1
1069000,Other            ,8,1,1,1
2,MEAT AND EDIBLE MEAT OFFAL            ,2,2,1,1
201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED            ",4,2,1,1
2011000,Carcasses and halfcarcasses            ,8,2,1,1
2012000,Other cuts with bone in            ,8,2,1,1
2013000,Boneless            ,8,2,1,1
202,"MEAT OF BOVINE ANIMALS, FROZEN            ",4,2,1,1
2021000,Carcasses and halfcarcasses            ,8,2,1,1
2022000,Other cuts with bone in            ,8,2,1,1
2023000,Boneless            ,8,2,1,1
203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN            ",4,2,1,1
2031,Fresh or chilled            ,5,2,1,1
2031100,Carcasses and halfcarcasses            ,8,2,1,1
2031200,"Hams, shoulders and cuts thereof, with bone in            ",8,2,1,1
2031900,Other            ,8,2,1,1
2032,Frozen            ,5,2,1,1
2032100,Carcasses and halfcarcasses            ,8,2,1,1
2032200,"Hams, shoulders and cuts thereof, with bone in            ",8,2,1,1
2032900,Other            ,8,2,1,1
204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN            ",4,2,1,1
