hs_code,description,level,chapter,region_id,section_id
101,"Live horses, asses, mules and hinnies",4,1,2,1
1012100,Pure-bred breeding horses,8,1,2,1
10129,Live horses (excl. pure-bred for breeding),6,1,2,1
1012910,Horses for slaughter,8,1,2,1
1012990,"Live horses (excl. for slaughter, pure-bred for breeding)",8,1,2,1
1013000,Live asses,8,1,2,1
1019000,Live mules and hinnies,8,1,2,1
102,Live bovine animals,4,1,2,1
10221,Pure-bred cattle for breeding,6,1,2,1
1022110,"Pure-bred breeding heifers ""female bovines that have never calved""",8,1,2,1
1022130,Pure-bred breeding cows (excl. heifers),8,1,2,1
1022190,Pure-bred cattle for breeding (excl. heifers and cows),8,1,2,1
10229,Live cattle (excl. pure-bred for breeding),6,1,2,1
1022905,Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding),8,1,2,1
1022910,Live cattle of a weight <= 80 kg (excl. pure-bred for breeding) ...,8,1,2,1
1022921,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter ...",8,1,2,1
1022929,"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding) ...",8,1,2,1
1022941,"Cattle of a weight > 160 kg but <= 300 kg, for slaughter ...",8,1,2,1
1022949,"Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding) ...",8,1,2,1
1022951,"Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter",8,1,2,1
1022959,"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)",8,1,2,1
1022961,"Cows of a weight > 300 kg, for slaughter (excl. heifers)",8,1,2,1
1022969,Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers),8,1,2,1
1022991,"Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)",8,1,2,1
1022999,"Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)",8,1,2,1
1023100,Pure-bred buffalo for breeding,8,1,2,1
10239,Live buffalo (excl. pure-bred for breeding),6,1,2,1
1023910,Live domestic buffalo (excl. pure-bred for breeding),8,1,2,1
1023990,Live buffalo (excl. domestic species and pure-bred for breeding),8,1,2,1
10290,Live bovine animals (excl. cattle and buffalo),6,1,2,1
1029020,Bovine pure-bred breeding animals (excl. cattle and buffalo),8,1,2,1
1029091,Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding),8,1,2,1
1029099,"Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)",8,1,2,1
103,Live swine,4,1,2,1
1031000,Pure-bred breeding swine,8,1,2,1
10391,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",6,1,2,1
1039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",8,1,2,1
1039190,"Live non-domestic swine, weighing < 50 kg",8,1,2,1
10392,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",6,1,2,1
1039211,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)",8,1,2,1
1039219,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)",8,1,2,1
1039290,"Live non-domestic swine, weighing >= 50 kg",8,1,2,1
104,Live sheep and goats,4,1,2,1
10410,Live sheep,6,1,2,1
1041010,Pure-bred sheep for breeding,8,1,2,1
1041030,"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)",8,1,2,1
1041080,Live sheep (excl. lambs and pure-bred breeding animals),9,1,2,1
10420,Live goats,6,1,2,1
1042010,Pure-bred breeding goats,8,1,2,1
1042090,Live goats (excl. pure-bred for breeding),8,1,2,1
105,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",4,1,2,1
10511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls) ...",6,1,2,1
1051111,Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g ...,8,1,2,1
1051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks) ...,8,1,2,1
1051191,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks) ...",8,1,2,1
1051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks) ...,8,1,2,1
1051200,"Live domestic turkeys, weighing <= 185 g ...",8,1,2,1
1051300,"Live domestic ducks, weighing <= 185 g ...",8,1,2,1
1051400,"Live domestic geese, weighing <= 185 g ...",8,1,2,1
1051500,"Live domestic guinea fowls, weighing <= 185 g ...",8,1,2,1
1059400,"Live fowls of the species Gallus domesticus, weighing > 185",8,1,2,1
10599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",6,1,2,1
1059910,"Live domestic ducks, weighing > 185 g",8,1,2,1
1059920,"Live domestic geese, weighing > 185 g",8,1,2,1
1059930,"Live domestic turkeys, weighing > 185 g",8,1,2,1
1059950,"Live domestic guinea fowls, weighing > 185 g",8,1,2,1
106,"Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",4,1,2,1
1061100,Live primates,8,1,2,1
1061200,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",8,1,2,1
1061300,Live camels and other camelids [Camelidae],8,1,2,1
10614,Live rabbits and hares,6,1,2,1
1061410,Live domestic rabbits,8,1,2,1
1061490,Live rabbits and hares (excl. domestic rabbits),8,1,2,1
1061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",8,1,2,1
1062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",8,1,2,1
1063100,Live birds of prey,8,1,2,1
1063200,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",8,1,2,1
1063300,"Live ostriches, and emus [Dromaius novaehollandiae]",8,1,2,1
10639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",6,1,2,1
1063910,Live pigeons,8,1,2,1
1063980,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)",8,1,2,1
1064100,Live bees,8,1,2,1
1064900,Live insects (excl. bees),8,1,2,1
1069000,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",8,1,2,1
201,"Meat of bovine animals, fresh or chilled",4,2,2,1
2011000,"Carcases or half-carcases of bovine animals, fresh or chilled",8,2,2,1
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",6,2,2,1
2012020,"""Compensated"" quarters of bovine animals with bone in, fresh or chilled",8,2,2,1
2012030,"Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled",9,2,2,1
2012050,"Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled",8,2,2,1
2012090,"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)",8,2,2,1
2013000,"Fresh or chilled bovine meat, boneless",8,2,2,1
202,"Meat of bovine animals, frozen",4,2,2,1
2021000,Frozen bovine carcases and half-carcases,8,2,2,1
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",6,2,2,1
2022010,"Frozen ""compensated"" bovine quarters, with bone in",8,2,2,1
2022030,"Frozen unseparated or separated bovine forequarters, with bone in",8,2,2,1
2022050,"Frozen unseparated or separated bovine hindquarters, with bone in",8,2,2,1
2022090,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)",8,2,2,1
20230,"Frozen, boneless meat of bovine animals ",6,2,2,1
